# id	left	top	right	bottom	texture_id
[SPRITES]

#####  BIG ###############
#IDLE - IDLE HOLD JUMP RIGHT LEFT
11121	216	242	231	271	300
11721	331	322	346	351	300
11726	294	362	311	391	300


11111	176	242	191	271	300
11711	61	322	76	351	300
11716	94	362	111	391	300


#WALKING RIGHT
11222	256	242	271	271	300
11223	296	242	311	271	300

#WALKING LEFT
11212	136	242	151	271	300
11213	96	242	111	271	300

#RUNNING RIGHT
11321	213	322	232	351	300
11322	253	322	272	351	300
11323	293	322	312	351	300

#RUNNING LEFT
11311	173	322	192	351	300
11312	133	322	152	351	300
11313	93	322	112	351	300


#JUMP WALK RIGHT
11417	335	242	352	271	300
11413	55	242	72	271	300

#JUMP RUN RIGHT & LEFT
11427	334	363	351	392	300
11423	54	363	71	392	300

#SIT RIGHT & LEFT 
11521	376	248	390	266	300
11511	16	248	30	266	300

#BRACE RIGHT & LEFT 
11621	214	283	229	312	300
11611	174	283	189	312	300

#DIE
13001	15	209	30	224	300

#HOLD RIGHT LEFT
11722	357	322	372	351	300
11723	382	322	397	351	300

11712	35	322	50	351	300
11713	10	322	25	351	300
#KICK RIGHT LEFT
11821	253	283	273	309	300
11811	134	283	154	309	300

#IN WORLD MAP
11831	55	5	70	26	300
11832	55	45	70	66	300























############ SMALL ################
 #IDLE
12121	217	89	232	104	300
12626	336	169	351	184	300

12111	177	89	192	104	300
12616	56	169	71	184	300

#WALK RIGHT
12222	255	89	270	104	300

#WALK LEFT
12212	135	89	150	104	300


#RUN RIGHT
12321	215	169	230	184	300
12322	255	169	270	184	300


#RUN LEFT
12311	175	169	190	184	300
12312	135	169	150	184	300
#BRACE RIGHT & LEFT
12511	216	129	231	144	300
12521	176	129	191	144	300


#JUMP WALK RIGHT & LEFT 
12417	335	89	350	104	300
12413	55	89	70	104	300

#HOLD RIGHT LEFT
12621	336	169	351	184	300
12622	377	169	392	184	300

12611	56	169	71	184	300
12612	15	169	30	184	300

#KICK RIGHT LEFT

12721	256	129	271	144	300
12711	136	129	151	144	300
#JUMP RUN RIGHT & LEFT 
12427	215	209	230	224	300
12423	175	209	190	224	300

#IN WORLD MAP
12532	15	9	30	24	300
12533	15	49	30	64	300


############ FIRE################
#IDLE

13121	216	682	231	711	300
13721	331	763	346	792	300
13726	294	803	309	832	300


13111	176	682	191	711	300
13711	61	763	76	792	300

13716	94	803	111	832	300
#WALKING RIGHT
13222	255	683	270	712	300
13223	295	683	310	712	300
#WALKING LEFT
13212	135	682	152	711	300
13213	95	682	112	711	300
#RUNNING RIGHT
13321	213	762	232	791	300
13322	253	762	272	791	300
13323	293	762	312	791	300
	
#RUNNING LEFT
13311	174	762	193	791	300
13312	134	762	153	791	300
13313	94	762	113	791	300
#JUMP WALK RIGHT
13417	335	682	352	711	300
13413	55	682	72	711	300
#JUMP RUN RIGHT & LEFT
13427	335	802	352	831	300
13423	55	802	72	831	300
#SIT RIGHT & LEFT
13521	376	688	390	706	300
13511	16	688	30	706	300
#BRACE RIGHT & LEFT 
13621	214	723	229	752	300
13611	174	723	189	752	300

#HOLD RIGHT LEFT
13722	357	763	372	792	300
13723	382	763	397	792	300

13712	35	763	50	792	300
13713	10	763	25	792	300
#KICK RIGHT LEFT
13821	253	723	273	749	300
13811	133	723	153	749	300

#SHOOT RIGHT LEFT
13921	366	803	381	832	300
13911	26	803	41	832	300
#IN WORLD MAP
13931	175	1	190	22	300
13932	175	51	190	72	300



###################TAIL#################


#IDLE

14121	211	443	232	470	300
14721	322	523	343	550	300
14726	291	563	312	590	300

14111	171	443	192	470	300
14711	62	523	83	550	300
14716	92	563	113	590	300

#WALKING RIGHT
14222	261	443	282	470	300
14223	291	443	312	470	300
#WALKING LEFT
14212	121	443	142	470	300
14213	91	443	112	470	300
#RUNNING RIGHT
14321	213	523	234	550	300
14322	253	523	274	550	300
14323	293	523	314	550	300

	
#RUNNING LEFt
14311	171	523	192	550	300
14312	131	523	152	550	300
14313	91	523	112	550	300
#JUMP WALK RIGHT
14417	331	443	352	470	300
14413	51	443	72	470	300
#JUMP RUN RIGHT & LEFT

###RIGHT - DOWN  - UP
14427	291	603	314	630	300
14428	331	603	354	630	300

##LEFT- DOWN  - UP
14423	91	603	114	630	300
14424	51	603	74	630	300

#SIT RIGHT & LEFT
14521	371	448	394	465	300
14511	11	448	34	465	300
#BRACE RIGHT & LEFT 
14621	211	484	234	511	300
14611	171	484	194	511	300

#ATTACK
14631	236	443	259	470	300
14632	1	483	16	510	300
14633	146	443	169	470	300


#HOLD RIGHT LEFT
14722	351	523	374	550	300
14723	381	523	404	550	300

14712	31	523	54	550	300
14713	1	523	24	550	300
#KICK RIGHT LEFT
14821	247	483	274	510	300
14811	137	483	164	510	300
#FLY DOWN RIGHT LEFT
14751	252	603	275	630	300
14752	211	603	234	630	300
14753	291	443	314	470	300


14741	131	603	154	630	300
14742	171	603	194	630	300
14743	91	443	114	470	300

#IN WORLD MAP
14841	95	5	110	28	300
14840	95	45	110	68	300


#pipe

14641	355	482	370	509	300

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
401	11121	100
400	11111	100

#WALKING RIGHT & LEFT 
501	11121	110	11222	110	11223	110
500	11111	110	11212	110	11213	110

#RUNNING RIGHT & LEFT
601	11321	5	11322	5	11323	5
600	11311	5	11312	5	11313	5
#RUNNING PREPARE
603	11121	50	11222	50	11223	50
602	11111	50	11212	50	11213	50

#JUMP WALK
701	11417	100
700	11413	100

#JUMP RUN
801	11427	100
800	11423	100

#SIT RIGHT & LEFT 
901	11521	100
900	11511	100

#BRACE RIGHT & LEFT 
1001	11611	100
1000	11621	100

#DIE
999	13001	100

#HOLD RIGHT LEFT
1011	11721	100	11722	100	11723	100
1010	11711	100	11712	100	11713	100
#KICK RIGHT LEFT
1021	11821	100
1020	11811	100
#HOLD IDLE
1041	11721	100
1040	11711	100
#HOLD JUMP RIGHT LEFT
1051	11726	100
1050	11716	100

#IN WORLD MAP
1061	11831	400	11832	400
################### SMALL #################
1102	12121	100
1100	12111	100


#WALK LEFT & RIGHT 
1201	12121	110	12222	110
1200	12111	110	12212	110

#RUN LEFT & RIGHT
1301	12321	5	12322	5
1300	12311	5	12312	5
#RUN PREPARE
1303	12121	50	12222	50
1302	12111	50	12212	50
#BRACE LEFT & RIGHT
1400	12521	100
1401	12511	100

#JUMP WALK
1501	12417	100
1500	12413	100

#JUMP RUN 
1600	12423	100
1601	12427	100

#HOLD RIGHT LEFT
1611	12621	100	12622	100
1610	12611	100	12612	100
#KICK RIGHT LEFT
1621	12721	100
1620	12711	100
#HOLD IDLE
1641	12621	100
1640	12611	100
#HOLD JUMP RIGHT LEFT
1651	12626	100
1650	12616	100

#IN WORLD MAP

1661	12532	400	12533	400

################### FIRE#################

1701	13121	100
1700	13111	100

#WALKING RIGHT & LEFT 
1801	13121	110	13222	110	13223	110
1800	13111	110	13212	110	13213	110

#RUNNING RIGHT & LEFT
1901	13321	5	13322	5	13323	5
1900	13311	5	13312	5	13313	5

#RUNNING PREPARE
1903	13121	50	13222	50	13223	50
1902	13111	50	13212	50	13213	50
#JUMP WALK
